<PAD>
[Cond.Def.3Sg]
[Cond.NDef.3Sg]
[_Aggreg/Adv]
[/Num|Pro|Rel]
[Cau]
$
[Cond.NDef.3Pl]
\
[/Post|(Abl)]
…
Q
X
[Fam.Pl]
[_Freq/V]
[/Adj|Pro|Rel]
[Sbjv.Def.3Pl]
'
Á
[Cond.Def.1Sg]
[Prs.Def.1Sg]
[Cond.Def.3Pl]
@
§
[/Adj|Abbr]
[_OrdDate/N]
[/Space]
[/N|lat]
[/Cnj|Abbr]
[_Ger:tA/N]
[/Adj|Unit]
[_Nz:s/N]
[Poss.1Sg]
Í
[Prs.1Sg›2]
[Poss.2Pl]
[_VAdvz:ÓlAg/Adv]
Ö
[Pst.Def.1Sg]
—
[Pl.Poss.1Sg]
[Pst.NDef.1Sg]
[Sbjv.Def.2Pl]
[Sbjv.Def.1Sg]
[_Tmp_Loc/Adv]
[_Vbz:kOd/V]
[Inf.1Sg]
[Sbjv.NDef.2Sg]
[Pst.Def.2Sg]
É
[Cond.NDef.1Sg]
[Pl.Poss.2Sg]
Ó
[_Adjz_Hab/Adj]
[Sbjv.NDef.1Sg]
[_Frac/Num]
<
>
[Prs.Def.2Sg]
[Pst.NDef.2Sg]
[Pst.NDef.2Pl]
[Prs.Def.2Pl]
[QPtcl]
[Prs.NDef.2Sg]
[_Design/Adj]
[_AdvPerfPtcp/Adv]
[Cond.NDef.2Sg]
[Inf.2Pl]
[Sbjv.NDef.2Pl]
[_VAdjz:nivaló/Adj]
::
[_Dim:cskA/N]
[_Des/N]
[Loc]
[_Mrs/N]
[_Pass/V]
[Inf.2Sg]
[_Advz_Quant:szám/Adv]
Ú
ć
ë
[_Advz_LocDistr:szerte/Adv]
[_Adjz_Type:fajta/Adj]
[_NVbz_Ntr:zik/V]
[AnP.Pl]
Ő
°
[_Com:stUl/Adv]
[/Post|(Ela)]
Ü
[Pst.1Sg›2]
[Cond.Def.2Pl]
[Pl.Poss.2Pl]
[/Adj|Attr|Abbr]
[Cond.Def.2Sg]
[Cond.1Sg›2]
[Cond.NDef.2Pl]
[_PerfPtcp_Subj=tA/Adj]
[_DistrFrq:ntA/Adv]
[/Adj|Attr|Pro|Rel]
[/Prep]
[Inf.3Pl*]
[Pst.Def.2Pl]
»
«
ä
[Cond.Def.1Pl*]
[/N|Abbr|Unit]
`
č
ľ
ň
đ
Č
Ž
[_AdvPtcp:vÁst/Adv]
[/Post|(N0)]
·
¥
→
[/Adj|Pred|Pro]
ę
ô
î
ŕ
[Sbjv.1Sg›2]
